Entry	Identifier	OmekaURL	Entry_Clean_Recon	Wikidata	TextInBrackets	Location_in_index	EntriesID	EntriesIdentifier	SeeAlso	File	Comment	Column 1
Berlin-Brandenburgische Akademie der Wissenschaften	QGJ.v1.Org.01567	https://undusting.org/jewish_sources/s/jewish_sources/item/17904	Berlin-Brandenburgische Akademie der Wissenschaften				1815|1816|1817|1818|1819|1820|1821|1822|1823|1824|1825|1826|1827|1828|1829|1830|1831|1832|1833|1834|1835|1836|1837|1838|1839|1840|1841|1842|1843|1844|1845|1846|1847|1848|1849|1850|1851|1852|1853|1854|1855|1856|1857|1858|1859|1860|1861|1862|1863|1864|1865|1866|1867|1868|1869|1870|1871|1872|1873|1874|1875|1876|1877|1878|1879|1880|1881|1882|1883|1884|1885|1886|1887|1888|1889|1890|1891|1892|1893|1894|1895	QGJ.v1.A0101.I0301.E01869|QGJ.v1.A0101.I0302.E01870|QGJ.v1.A0101.I0302.E01871|QGJ.v1.A0101.I0302.E01872|QGJ.v1.A0101.I0303.E01873|QGJ.v1.A0101.I0303.E01874|QGJ.v1.A0101.I0303.E01875|QGJ.v1.A0101.I0303.E01876|QGJ.v1.A0101.I0303.E01877|QGJ.v1.A0101.I0303.E01878|QGJ.v1.A0101.I0303.E01879|QGJ.v1.A0101.I0303.E01880|QGJ.v1.A0101.I0303.E01881|QGJ.v1.A0101.I0303.E01882|QGJ.v1.A0101.I0303.E01883|QGJ.v1.A0101.I0303.E01884|QGJ.v1.A0101.I0303.E01885|QGJ.v1.A0101.I0303.E01886|QGJ.v1.A0101.I0303.E01887|QGJ.v1.A0101.I0304.E01888|QGJ.v1.A0101.I0304.E01889|QGJ.v1.A0101.I0304.E01890|QGJ.v1.A0101.I0305.E01891|QGJ.v1.A0101.I0306.E01892|QGJ.v1.A0101.I0306.E01893|QGJ.v1.A0101.I0307.E01894|QGJ.v1.A0101.I0307.E01895|QGJ.v1.A0101.I0307.E01896|QGJ.v1.A0101.I0308.E01897|QGJ.v1.A0101.I0309.E01898|QGJ.v1.A0101.I0310.E01899|QGJ.v1.A0101.I0311.E01900|QGJ.v1.A0101.I0311.E01901|QGJ.v1.A0101.I0311.E01902|QGJ.v1.A0101.I0311.E01903|QGJ.v1.A0101.I0312.E01904|QGJ.v1.A0101.I0312.E01905|QGJ.v1.A0101.I0312.E01906|QGJ.v1.A0101.I0312.E01907|QGJ.v1.A0101.I0312.E01908|QGJ.v1.A0101.I0312.E01909|QGJ.v1.A0101.I0312.E01910|QGJ.v1.A0101.I0312.E01911|QGJ.v1.A0101.I0312.E01912|QGJ.v1.A0101.I0313.E01913|QGJ.v1.A0101.I0313.E01914|QGJ.v1.A0101.I0313.E01915|QGJ.v1.A0101.I0313.E01916|QGJ.v1.A0101.I0313.E01917|QGJ.v1.A0101.I0313.E01918|QGJ.v1.A0101.I0313.E01919|QGJ.v1.A0101.I0313.E01920|QGJ.v1.A0101.I0313.E01921|QGJ.v1.A0101.I0313.E01923|QGJ.v1.A0101.I0313.E01924|QGJ.v1.A0101.I0313.E01925|QGJ.v1.A0101.I0313.E01926|QGJ.v1.A0101.I0313.E01927|QGJ.v1.A0101.I0313.E01928|QGJ.v1.A0101.I0313.E01929|QGJ.v1.A0101.I0313.E01930|QGJ.v1.A0101.I0313.E01931|QGJ.v1.A0101.I0313.E01932|QGJ.v1.A0101.I0313.E01933|QGJ.v1.A0103.I0316.E01937|QGJ.v1.A0101.I0313.E01922|QGJ.v1.A0102.I0314.E01934|QGJ.v1.A0102.I0315.E01935|QGJ.v1.A0103.I0316.E01936|QGJ.v1.A0103.I0316.E01938|QGJ.v1.A0103.I0316.E01939|QGJ.v1.A0103.I0316.E01940|QGJ.v1.A0103.I0316.E01941|QGJ.v1.A0103.I0316.E01942|QGJ.v1.A0103.I0316.E01943|QGJ.v1.A0103.I0316.E01944|QGJ.v1.A0103.I0316.E01945|QGJ.v1.A0103.I0316.E01946|QGJ.v1.A0103.I0316.E01947|QGJ.v1.A0103.I0316.E01948|QGJ.v1.A0103.I0316.E01949		organizations		Berlin-Brandenburgische Akademie der Wissenschaften 1815-1895
Berlin-Görlitzer Eisenbahn-Gesellschaft	QGJ.v1.Org.01568	https://undusting.org/jewish_sources/s/jewish_sources/item/17905	Berlin-Görlitzer Eisenbahn-Gesellschaft				2078	QGJ.v1.A0108.I0332.E02132		organizations		Berlin-Görlitzer Eisenbahn-Gesellschaft 2078
Berliner Ensemble	QGJ.v1.Org.01569	https://undusting.org/jewish_sources/s/jewish_sources/item/17906	Berliner Ensemble				1901	QGJ.v1.A0103.I0316.E01955		organizations		Berliner Ensemble 1901
Berliner Missionswerk	QGJ.v1.Org.01570	https://undusting.org/jewish_sources/s/jewish_sources/item/17907	Berliner Missionswerk				1925|1926|1927|1928|1929|1930|1931|1932|1933|1934|1935|1936|1937|1938|1939	QGJ.v1.A0106.I0324.E01979|QGJ.v1.A0106.I0324.E01980|QGJ.v1.A0106.I0324.E01981|QGJ.v1.A0106.I0324.E01982|QGJ.v1.A0106.I0324.E01983|QGJ.v1.A0106.I0324.E01984|QGJ.v1.A0106.I0324.E01985|QGJ.v1.A0106.I0324.E01986|QGJ.v1.A0106.I0324.E01987|QGJ.v1.A0106.I0324.E01988|QGJ.v1.A0106.I0324.E01989|QGJ.v1.A0106.I0324.E01990|QGJ.v1.A0106.I0325.E01991|QGJ.v1.A0106.I0325.E01992|QGJ.v1.A0107.I0326.E01996		organizations		Berliner Missionswerk 1925-1939
Berliner Warenhaus (Max Gabbe, Ilmenau)	QGJ.v1.Org.01571	https://undusting.org/jewish_sources/s/jewish_sources/item/17908	Berliner Warenhaus (Max Gabbe, Ilmenau)				7453|7468	QGJ.v1.A0260.I0897.E07546|QGJ.v1.A0261.I0899.E07561		organizations		Berliner Warenhaus (Max Gabbe, Ilmenau) 7453, 7468
Betriebswirtschaftliche Organisations- und Beratungs-Gesellschaft m.b.H., Weimar	QGJ.v1.Org.01572	https://undusting.org/jewish_sources/s/jewish_sources/item/17909	Betriebswirtschaftliche Organisations- und Beratungs-Gesellschaft m.b.H., Weimar				5286	QGJ.v1.A0235.I0779.E05363		organizations		Betriebswirtschaftliche Organisations- und Beratungs-Gesellschaft m.b.H., Weimar 5286
Bewegung Freies Deutschland	QGJ.v1.Org.01573	https://undusting.org/jewish_sources/s/jewish_sources/item/17910	Bewegung Freies Deutschland				2015	QGJ.v1.A0107.I0327.E02069		organizations		Bewegung Freies Deutschland 2015
Bezirksrabbinat Weilburg	QGJ.v1.Org.01574	https://undusting.org/jewish_sources/s/jewish_sources/item/17911	Bezirksrabbinat Weilburg				94/2	QGJ.v1.A0003.I0043.E00117		organizations		Bezirksrabbinat Weilburg 94/2
Bibliographisches Institut Hermann Meyer	QGJ.v1.Org.01575	https://undusting.org/jewish_sources/s/jewish_sources/item/17912	Bibliographisches Institut Hermann Meyer				2984/2	QGJ.v1.A0173.I0540.E03056		organizations		Bibliographisches Institut Hermann Meyer 2984/2
Bibliothek Ponickau	QGJ.v1.Org.01576	https://undusting.org/jewish_sources/s/jewish_sources/item/17913	Bibliothek Ponickau				2922|2923|2924	QGJ.v1.A0167.I0527.E02989|QGJ.v1.A0167.I0527.E02990|QGJ.v1.A0167.I0527.E02991		organizations		Bibliothek Ponickau 2922-2924
J(uda) Birnbaum & Co., Gera	QGJ.v1.Org.01577	https://undusting.org/jewish_sources/s/jewish_sources/item/17914	J(uda) Birnbaum & Co., Gera				5492	QGJ.v1.A0238.I0823.E05573		organizations		J(uda) Birnbaum & Co., Gera 5492
Bischöfliches Kommissariat Heiligenstadt	QGJ.v1.Org.01578	https://undusting.org/jewish_sources/s/jewish_sources/item/17915	Bischöfliches Kommissariat Heiligenstadt				8012	QGJ.v1.A0295.I0977.E08106		organizations		Bischöfliches Kommissariat Heiligenstadt 8012
