Entry	Identifier	OmekaURL	Entry_Clean_Recon	Wikidata	TextInBrackets	Location_in_index	EntriesID	EntriesIdentifier	SeeAlso	File	Comment	Column 1
Landesrabbinat (Mecklenburg)	QGJ.v1.Org.01861	https://undusting.org/jewish_sources/s/jewish_sources/item/18198	Landesrabbinat (Mecklenburg)				162/1|162/3|162/4|184|614	QGJ.v1.A0006.I0053.E00188|QGJ.v1.A0006.I0053.E00190|QGJ.v1.A0006.I0053.E00191|QGJ.v1.A0011.I0058.E00226|QGJ.v1.A0031.I0110.E00655		organizations		Landesrabbinat (Mecklenburg) 162/1, 162/3, 162/4, 184,614
Landesverband der Jüdischen Gemeinden Thüringens	QGJ.v1.Org.01862	https://undusting.org/jewish_sources/s/jewish_sources/item/18199	Landesverband der Jüdischen Gemeinden Thüringens				5284|7394	QGJ.v1.A0235.I0778.E05361|QGJ.v1.A0256.I0892.E07487		organizations		Landesverband der Jüdischen Gemeinden Thüringens 5284,7394
Landesverband Jüdischer Gemeinden Sachsen-Anhalts	QGJ.v1.Org.01863	https://undusting.org/jewish_sources/s/jewish_sources/item/18200	Landesverband Jüdischer Gemeinden Sachsen-Anhalts				2206|2872|2873|2874|2875|2876|2877|2878|2879|2880|2881|2882|2883|2884|2885|2886|2887|2888|2889|2890|2891|2892|2893|2894|2895|2896|2897|2898|2899|2900	QGJ.v1.A0121.I0354.E02273|QGJ.v1.A0164.I0497.E02942|QGJ.v1.A0163.I0494.E02939|QGJ.v1.A0163.I0495.E02940|QGJ.v1.A0163.I0496.E02941|QGJ.v1.A0164.I0498.E02943|QGJ.v1.A0164.I0499.E02944|QGJ.v1.A0164.I0500.E02945|QGJ.v1.A0164.I0501.E02946|QGJ.v1.A0164.I0502.E02947|QGJ.v1.A0164.I0503.E02948|QGJ.v1.A0164.I0504.E02949|QGJ.v1.A0164.I0505.E02950|QGJ.v1.A0164.I0506.E02951|QGJ.v1.A0164.I0507.E02952|QGJ.v1.A0164.I0508.E02953|QGJ.v1.A0164.I0509.E02954|QGJ.v1.A0164.I0510.E02955|QGJ.v1.A0164.I0511.E02956|QGJ.v1.A0164.I0512.E02957|QGJ.v1.A0164.I0513.E02958|QGJ.v1.A0164.I0514.E02959|QGJ.v1.A0164.I0515.E02960|QGJ.v1.A0164.I0516.E02961|QGJ.v1.A0164.I0516.E02962|QGJ.v1.A0164.I0517.E02963|QGJ.v1.A0164.I0518.E02964|QGJ.v1.A0164.I0519.E02965|QGJ.v1.A0164.I0520.E02966|QGJ.v1.A0164.I0521.E02967		organizations		Landesverband Jüdischer Gemeinden Sachsen-Anhalts 2206,2872-2900
Landesverband Israelitischer Gemeinden Thüringens	QGJ.v1.Org.01864	https://undusting.org/jewish_sources/s/jewish_sources/item/18201	Landesverband Israelitischer Gemeinden Thüringens				94/2	QGJ.v1.A0003.I0043.E00117		organizations		Landesverband Israelitischer Gemeinden Thüringens 94/2
Landesversammlung der Israelitischen LandesgemeindeMecklenburg	QGJ.v1.Org.01865	https://undusting.org/jewish_sources/s/jewish_sources/item/18202	Landesversammlung der Israelitischen LandesgemeindeMecklenburg				162/2	QGJ.v1.A0006.I0053.E00189		organizations		Landesversammlung der Israelitischen LandesgemeindeMecklenburg 162/2
Landrabbinate:	QGJ.v1.Org.01866	https://undusting.org/jewish_sources/s/jewish_sources/item/18203	Landrabbinate:							organizations		Landrabbinate:
Landrabbinate|Bernburg	QGJ.v1.Org.01867	https://undusting.org/jewish_sources/s/jewish_sources/item/18204	Landrabbinate|Bernburg				94/2	QGJ.v1.A0003.I0043.E00117		organizations		- Bernburg 94/2
Landrabbinate|Braunschweig	QGJ.v1.Org.01868	https://undusting.org/jewish_sources/s/jewish_sources/item/18205	Landrabbinate|Braunschweig				94/2	QGJ.v1.A0003.I0043.E00117		organizations		- Braunschweig 94/2
Landrabbinate|Stade	QGJ.v1.Org.01869	https://undusting.org/jewish_sources/s/jewish_sources/item/18206	Landrabbinate|Stade				94/2	QGJ.v1.A0003.I0043.E00117		organizations		-Stade 94/2
Landrabbinate|Stadtlengsfeld	QGJ.v1.Org.01870	https://undusting.org/jewish_sources/s/jewish_sources/item/18207	Landrabbinate|Stadtlengsfeld				94/2	QGJ.v1.A0003.I0043.E00117		organizations		- Stadtlengsfeld 94/2
Landrabbinate|Stadtlengsfeld und Eisenach	QGJ.v1.Org.01871	https://undusting.org/jewish_sources/s/jewish_sources/item/18208	Landrabbinate|Stadtlengsfeld und Eisenach				5034|5035|5036|5037|5038|5039|5040|5041|5042|5043|5044|5045|5046|5047|5048|5049|5050|5051|5052|5053|5054|5055|5056|5057|5058|5059|5060|5061|5062|5063|5064|5065|5066|5067|5068|5069|5070|5071|5072|5073|5074|5075|5076|5077|5078|5079|5080|5081|5082|5083|5084|5085|5086|5087|5088|5089|5090|5091|5092|5093|5094|5095|5096|5097|5098|5099|5100|5101|5102|5103|5104|5105|5106|5107|5108|5109|5110|5111|5112|5113|5114|5115|5116|5117|5118|5119|5120|5121|5122|5123|5124|5125|5126|5127|5128|5129|5130|5131|5132|5133|5134|5135|5136|5137|5138|5139|5140|5141|5142|5143|5144|5145|5146|5147|5148|5149|5150|5151|5152|5153|5154|5155|5156|5157|5158|5159|5160|5161|5162|5163|5164|5165|5166|5167|5168|5169|5170|5171|5172|5173|5174|5175|5176|5177|5178|5179|5180|5181|5182|5183	QGJ.v1.A0235.I0762.E05111|QGJ.v1.A0235.I0762.E05112|QGJ.v1.A0235.I0762.E05113|QGJ.v1.A0235.I0762.E05114|QGJ.v1.A0235.I0762.E05115|QGJ.v1.A0235.I0762.E05116|QGJ.v1.A0235.I0762.E05117|QGJ.v1.A0235.I0762.E05118|QGJ.v1.A0235.I0762.E05119|QGJ.v1.A0235.I0762.E05120|QGJ.v1.A0235.I0762.E05121|QGJ.v1.A0235.I0762.E05122|QGJ.v1.A0235.I0762.E05123|QGJ.v1.A0235.I0762.E05124|QGJ.v1.A0235.I0762.E05125|QGJ.v1.A0235.I0762.E05126|QGJ.v1.A0235.I0762.E05127|QGJ.v1.A0235.I0762.E05128|QGJ.v1.A0235.I0762.E05129|QGJ.v1.A0235.I0762.E05130|QGJ.v1.A0235.I0762.E05131|QGJ.v1.A0235.I0762.E05132|QGJ.v1.A0235.I0762.E05133|QGJ.v1.A0235.I0762.E05134|QGJ.v1.A0235.I0762.E05135|QGJ.v1.A0235.I0762.E05136|QGJ.v1.A0235.I0762.E05137|QGJ.v1.A0235.I0762.E05138|QGJ.v1.A0235.I0762.E05139|QGJ.v1.A0235.I0762.E05140|QGJ.v1.A0235.I0762.E05141|QGJ.v1.A0235.I0762.E05142|QGJ.v1.A0235.I0762.E05143|QGJ.v1.A0235.I0762.E05144|QGJ.v1.A0235.I0762.E05145|QGJ.v1.A0235.I0762.E05146|QGJ.v1.A0235.I0762.E05147|QGJ.v1.A0235.I0762.E05148|QGJ.v1.A0235.I0762.E05149|QGJ.v1.A0235.I0762.E05150|QGJ.v1.A0235.I0762.E05151|QGJ.v1.A0235.I0762.E05152|QGJ.v1.A0235.I0762.E05153|QGJ.v1.A0235.I0762.E05154|QGJ.v1.A0235.I0762.E05155|QGJ.v1.A0235.I0762.E05156|QGJ.v1.A0235.I0762.E05157|QGJ.v1.A0235.I0762.E05158|QGJ.v1.A0235.I0762.E05159|QGJ.v1.A0235.I0762.E05160|QGJ.v1.A0235.I0762.E05161|QGJ.v1.A0235.I0762.E05162|QGJ.v1.A0235.I0762.E05163|QGJ.v1.A0235.I0762.E05164|QGJ.v1.A0235.I0762.E05165|QGJ.v1.A0235.I0762.E05166|QGJ.v1.A0235.I0762.E05167|QGJ.v1.A0235.I0762.E05168|QGJ.v1.A0235.I0762.E05169|QGJ.v1.A0235.I0762.E05170|QGJ.v1.A0235.I0762.E05171|QGJ.v1.A0235.I0762.E05172|QGJ.v1.A0235.I0762.E05173|QGJ.v1.A0235.I0762.E05174|QGJ.v1.A0235.I0762.E05175|QGJ.v1.A0235.I0762.E05176|QGJ.v1.A0235.I0762.E05177|QGJ.v1.A0235.I0762.E05178|QGJ.v1.A0235.I0762.E05179|QGJ.v1.A0235.I0762.E05180|QGJ.v1.A0235.I0762.E05181|QGJ.v1.A0235.I0762.E05182|QGJ.v1.A0235.I0762.E05183|QGJ.v1.A0235.I0762.E05184|QGJ.v1.A0235.I0762.E05185|QGJ.v1.A0235.I0762.E05186|QGJ.v1.A0235.I0762.E05187|QGJ.v1.A0235.I0762.E05188|QGJ.v1.A0235.I0762.E05189|QGJ.v1.A0235.I0762.E05190|QGJ.v1.A0235.I0762.E05191|QGJ.v1.A0235.I0762.E05192|QGJ.v1.A0235.I0762.E05193|QGJ.v1.A0235.I0762.E05194|QGJ.v1.A0235.I0762.E05195|QGJ.v1.A0235.I0762.E05196|QGJ.v1.A0235.I0762.E05197|QGJ.v1.A0235.I0762.E05198|QGJ.v1.A0235.I0762.E05199|QGJ.v1.A0235.I0762.E05200|QGJ.v1.A0235.I0762.E05201|QGJ.v1.A0235.I0762.E05202|QGJ.v1.A0235.I0762.E05203|QGJ.v1.A0235.I0762.E05204|QGJ.v1.A0235.I0762.E05205|QGJ.v1.A0235.I0762.E05206|QGJ.v1.A0235.I0762.E05207|QGJ.v1.A0235.I0762.E05208|QGJ.v1.A0235.I0762.E05209|QGJ.v1.A0235.I0762.E05210|QGJ.v1.A0235.I0762.E05211|QGJ.v1.A0235.I0762.E05212|QGJ.v1.A0235.I0762.E05213|QGJ.v1.A0235.I0762.E05214|QGJ.v1.A0235.I0762.E05215|QGJ.v1.A0235.I0762.E05216|QGJ.v1.A0235.I0762.E05217|QGJ.v1.A0235.I0762.E05218|QGJ.v1.A0235.I0762.E05219|QGJ.v1.A0235.I0762.E05220|QGJ.v1.A0235.I0762.E05221|QGJ.v1.A0235.I0762.E05222|QGJ.v1.A0235.I0762.E05223|QGJ.v1.A0235.I0762.E05224|QGJ.v1.A0235.I0762.E05225|QGJ.v1.A0235.I0762.E05226|QGJ.v1.A0235.I0762.E05227|QGJ.v1.A0235.I0762.E05228|QGJ.v1.A0235.I0762.E05229|QGJ.v1.A0235.I0762.E05230|QGJ.v1.A0235.I0762.E05231|QGJ.v1.A0235.I0762.E05232|QGJ.v1.A0235.I0762.E05233|QGJ.v1.A0235.I0762.E05234|QGJ.v1.A0235.I0762.E05235|QGJ.v1.A0235.I0762.E05236|QGJ.v1.A0235.I0762.E05237|QGJ.v1.A0235.I0762.E05238|QGJ.v1.A0235.I0762.E05239|QGJ.v1.A0235.I0762.E05240|QGJ.v1.A0235.I0762.E05241|QGJ.v1.A0235.I0762.E05242|QGJ.v1.A0235.I0762.E05243|QGJ.v1.A0235.I0762.E05244|QGJ.v1.A0235.I0762.E05245|QGJ.v1.A0235.I0762.E05246|QGJ.v1.A0235.I0762.E05247|QGJ.v1.A0235.I0762.E05248|QGJ.v1.A0235.I0762.E05249|QGJ.v1.A0235.I0762.E05250|QGJ.v1.A0235.I0762.E05251|QGJ.v1.A0235.I0762.E05252|QGJ.v1.A0235.I0762.E05253|QGJ.v1.A0235.I0762.E05254|QGJ.v1.A0235.I0762.E05255|QGJ.v1.A0235.I0762.E05256|QGJ.v1.A0235.I0762.E05257|QGJ.v1.A0235.I0762.E05258|QGJ.v1.A0235.I0762.E05259|QGJ.v1.A0235.I0762.E05260		organizations		- Stadtlengsfeld und Eisenach 5034-5183
Lange und Weinhold (Fa.), Bleicherode	QGJ.v1.Org.01872	https://undusting.org/jewish_sources/s/jewish_sources/item/18209	Lange und Weinhold (Fa.), Bleicherode				7804	QGJ.v1.A0273.I0926.E07898		organizations		Lange und Weinhold (Fa.), Bleicherode 7804
Lederfärberei Horn und Langer, Johanngeorgenstadt	QGJ.v1.Org.01873	https://undusting.org/jewish_sources/s/jewish_sources/item/18210	Lederfärberei Horn und Langer, Johanngeorgenstadt				4513	QGJ.v1.A0210.I0680.E04590		organizations		Lederfärberei Horn und Langer, Johanngeorgenstadt 4513
Lederhandschuhfabrik Steinberger, Bros (und Cohn), Johanngeorgenstadt	QGJ.v1.Org.01874	https://undusting.org/jewish_sources/s/jewish_sources/item/18211	Lederhandschuhfabrik Steinberger, Bros (und Cohn), Johanngeorgenstadt				4515|4516|4517	QGJ.v1.A0210.I0680.E04592|QGJ.v1.A0210.I0680.E04593|QGJ.v1.A0210.I0680.E04594		organizations		Lederhandschuhfabrik Steinberger, Bros (und Cohn), Johanngeorgenstadt 4515—4517
Lehranstalt für die Wissenschaft des Judentums	QGJ.v1.Org.01875	https://undusting.org/jewish_sources/s/jewish_sources/item/18212	Lehranstalt für die Wissenschaft des Judentums				1743/1	QGJ.v1.A0094.I0287.E01795		organizations		Lehranstalt für die Wissenschaft des Judentums 1743/1
Leipziger Evangelischer Missionsverein	QGJ.v1.Org.01876	https://undusting.org/jewish_sources/s/jewish_sources/item/18213	Leipziger Evangelischer Missionsverein				4663	QGJ.v1.A0223.I0715.E04740		organizations		Leipziger Evangelischer Missionsverein 4663
Leipziger Kaufmannschaft	QGJ.v1.Org.01877	https://undusting.org/jewish_sources/s/jewish_sources/item/18214	Leipziger Kaufmannschaft				4160|4189	QGJ.v1.A0196.I0643.E04237|QGJ.v1.A0196.I0643.E04266		organizations		Leipziger Kaufmannschaft 4160,4189
Leipziger Mission	QGJ.v1.Org.01878	https://undusting.org/jewish_sources/s/jewish_sources/item/18215	Leipziger Mission				4708|4709	QGJ.v1.A0230.I0727.E04785|QGJ.v1.A0230.I0727.E04786		organizations		Leipziger Mission 4708,4709
Liberale Vereinigung, Plauen	QGJ.v1.Org.01879	https://undusting.org/jewish_sources/s/jewish_sources/item/18216	Liberale Vereinigung, Plauen				4487	QGJ.v1.A0207.I0673.E04564		organizations		Liberale Vereinigung, Plauen 4487
Liberaler Verein für die Angelegenheiten der JüdischenGemeinde zu Berlin	QGJ.v1.Org.01880	https://undusting.org/jewish_sources/s/jewish_sources/item/18217	Liberaler Verein für die Angelegenheiten der JüdischenGemeinde zu Berlin				2083|2084	QGJ.v1.A0108.I0332.E02137|QGJ.v1.A0108.I0332.E02138		organizations		Liberaler Verein für die Angelegenheiten der JüdischenGemeinde zu Berlin 2083,2084
Lichtenstein & Co., Chemnitz	QGJ.v1.Org.01881	https://undusting.org/jewish_sources/s/jewish_sources/item/18218	Lichtenstein & Co., Chemnitz				3162	QGJ.v1.A0183.I0583.E03239		organizations		Lichtenstein & Co., Chemnitz 3162
Literarische Gesellschaft Dresden	QGJ.v1.Org.01882	https://undusting.org/jewish_sources/s/jewish_sources/item/18219	Literarische Gesellschaft Dresden				3789	QGJ.v1.A0185.I0608.E03866		organizations		Literarische Gesellschaft Dresden 3789
Litolffs Verlag, Leipzig	QGJ.v1.Org.01883	https://undusting.org/jewish_sources/s/jewish_sources/item/18220	Litolffs Verlag, Leipzig				4235	QGJ.v1.A0196.I0643.E04312		organizations		Litolffs Verlag, Leipzig 4235
Loewe-Opta-Barackenbau, Glauchau	QGJ.v1.Org.01884	https://undusting.org/jewish_sources/s/jewish_sources/item/18221	Loewe-Opta-Barackenbau, Glauchau				3833	QGJ.v1.A0190.I0619.E03911		organizations		Loewe-Opta-Barackenbau, Glauchau 3833
Loewenstein, Döbern	QGJ.v1.Org.01885	https://undusting.org/jewish_sources/s/jewish_sources/item/18222	Loewenstein, Döbern				1388	QGJ.v1.A0065.I0201.E01436		organizations		Loewenstein, Döbern 1388
Luisenhaus-Gesellschaft, Chemnitz	QGJ.v1.Org.01886	https://undusting.org/jewish_sources/s/jewish_sources/item/18223	Luisenhaus-Gesellschaft, Chemnitz				3154	QGJ.v1.A0183.I0583.E03231		organizations		Luisenhaus-Gesellschaft, Chemnitz 3154
Mahn- und Gedenkstätten:	QGJ.v1.Org.01887	https://undusting.org/jewish_sources/s/jewish_sources/item/18224	Mahn- und Gedenkstätten:							organizations		Mahn- und Gedenkstätten:
Mahn- und Gedenkstätten|Mahn- und Gedenkstätte Barth	QGJ.v1.Org.01888	https://undusting.org/jewish_sources/s/jewish_sources/item/18225	Mahn- und Gedenkstätten|Mahn- und Gedenkstätte Barth				168	QGJ.v1.A0009.I0056.E00210		organizations		- Mahn- und Gedenkstätte Barth 168
Mahn- und Gedenkstätten|Gedenkstätte Buchenwald	QGJ.v1.Org.01889	https://undusting.org/jewish_sources/s/jewish_sources/item/18226	Mahn- und Gedenkstätten|Gedenkstätte Buchenwald				8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024|8025|8026|8027|8028|8029|8030|8031|8032|8033|8034|8035|8036|8037|8038|8039|8040|8041	QGJ.v1.A0296.I0978.E08107|QGJ.v1.A0296.I0978.E08108|QGJ.v1.A0296.I0978.E08109|QGJ.v1.A0296.I0978.E08110|QGJ.v1.A0296.I0978.E08111|QGJ.v1.A0296.I0978.E08112|QGJ.v1.A0296.I0978.E08113|QGJ.v1.A0296.I0978.E08114|QGJ.v1.A0296.I0978.E08115|QGJ.v1.A0296.I0978.E08116|QGJ.v1.A0296.I0978.E08117|QGJ.v1.A0296.I0978.E08118|QGJ.v1.A0296.I0978.E08119|QGJ.v1.A0296.I0978.E08120|QGJ.v1.A0296.I0978.E08121|QGJ.v1.A0296.I0978.E08122|QGJ.v1.A0296.I0978.E08123|QGJ.v1.A0296.I0978.E08124|QGJ.v1.A0296.I0978.E08125|QGJ.v1.A0296.I0978.E08126|QGJ.v1.A0296.I0978.E08127|QGJ.v1.A0296.I0978.E08128|QGJ.v1.A0296.I0978.E08129|QGJ.v1.A0296.I0978.E08130|QGJ.v1.A0296.I0978.E08131|QGJ.v1.A0296.I0978.E08132|QGJ.v1.A0296.I0978.E08133|QGJ.v1.A0296.I0978.E08134|QGJ.v1.A0296.I0978.E08135		organizations		- Gedenkstätte Buchenwald 8013-8041
Mahn- und Gedenkstätten|Mahn- und Gedenkstätte Langenstein-Zwieberge	QGJ.v1.Org.01890	https://undusting.org/jewish_sources/s/jewish_sources/item/18227	Mahn- und Gedenkstätten|Mahn- und Gedenkstätte Langenstein-Zwieberge				2970|2971|2972|2973|2974|2975|2976|2977|2978|2979|2980|2981|2982	QGJ.v1.A0173.I0540.E03037|QGJ.v1.A0173.I0540.E03038|QGJ.v1.A0173.I0540.E03039|QGJ.v1.A0173.I0540.E03040|QGJ.v1.A0173.I0540.E03041|QGJ.v1.A0173.I0540.E03042|QGJ.v1.A0173.I0540.E03043|QGJ.v1.A0173.I0540.E03044|QGJ.v1.A0173.I0540.E03045|QGJ.v1.A0173.I0540.E03046|QGJ.v1.A0173.I0540.E03047|QGJ.v1.A0173.I0540.E03048|QGJ.v1.A0173.I0540.E03049		organizations		-Mahn- und Gedenkstätte Langenstein-Zwieberge 2970-2982
Mahn- und Gedenkstätten|Gedenkstätte Mittelbau-Dora	QGJ.v1.Org.01891	https://undusting.org/jewish_sources/s/jewish_sources/item/18228	Mahn- und Gedenkstätten|Gedenkstätte Mittelbau-Dora				8042|8043|8044|8045	QGJ.v1.A0297.I0979.E08137|QGJ.v1.A0297.I0979.E08138|QGJ.v1.A0297.I0979.E08139|QGJ.v1.A0296.I0978.E08136		organizations		- Gedenkstätte Mittelbau-Dora 8042-8045
Mahn- und Gedenkstätten|Mahn- und Gedenkstätte Ravensbrück	QGJ.v1.Org.01892	https://undusting.org/jewish_sources/s/jewish_sources/item/18229	Mahn- und Gedenkstätten|Mahn- und Gedenkstätte Ravensbrück				89|90|1699	QGJ.v1.A0003.I0043.E00111|QGJ.v1.A0003.I0043.E00112|QGJ.v1.A0093.I0285.E01747		organizations		- Mahn- und Gedenkstätte Ravensbrück 89, 90,1699
Mahn- und Gedenkstätten|Gedenkstätte und Museum Sachsenhausen	QGJ.v1.Org.01893	https://undusting.org/jewish_sources/s/jewish_sources/item/18230	Mahn- und Gedenkstätten|Gedenkstätte und Museum Sachsenhausen				1700|1701|1702|1703|1704|1705|1706|1707|1708|1709|1710|1711|1712|1713|1714|1715|1716|1717|1718|1719|1720|1721|1722|1723|1724|1725|1726|1727|1728|1729|1730|1731|1732|1733|1734|1735|1736|1737|1738|1739	QGJ.v1.A0094.I0286.E01748|QGJ.v1.A0094.I0286.E01749|QGJ.v1.A0094.I0286.E01750|QGJ.v1.A0094.I0286.E01751|QGJ.v1.A0094.I0286.E01752|QGJ.v1.A0094.I0286.E01753|QGJ.v1.A0094.I0286.E01754|QGJ.v1.A0094.I0286.E01755|QGJ.v1.A0094.I0286.E01756|QGJ.v1.A0094.I0286.E01757|QGJ.v1.A0094.I0286.E01758|QGJ.v1.A0094.I0286.E01759|QGJ.v1.A0094.I0286.E01760|QGJ.v1.A0094.I0286.E01761|QGJ.v1.A0094.I0286.E01762|QGJ.v1.A0094.I0286.E01763|QGJ.v1.A0094.I0286.E01764|QGJ.v1.A0094.I0286.E01765|QGJ.v1.A0094.I0286.E01766|QGJ.v1.A0094.I0286.E01767|QGJ.v1.A0094.I0286.E01768|QGJ.v1.A0094.I0286.E01769|QGJ.v1.A0094.I0286.E01770|QGJ.v1.A0094.I0286.E01771|QGJ.v1.A0094.I0286.E01772|QGJ.v1.A0094.I0286.E01773|QGJ.v1.A0094.I0286.E01774|QGJ.v1.A0094.I0286.E01775|QGJ.v1.A0094.I0286.E01776|QGJ.v1.A0094.I0286.E01777|QGJ.v1.A0094.I0286.E01778|QGJ.v1.A0094.I0286.E01779|QGJ.v1.A0094.I0286.E01780|QGJ.v1.A0094.I0286.E01781|QGJ.v1.A0094.I0286.E01782|QGJ.v1.A0094.I0287.E01783|QGJ.v1.A0094.I0287.E01784|QGJ.v1.A0094.I0287.E01785|QGJ.v1.A0094.I0287.E01786|QGJ.v1.A0094.I0287.E01787		organizations		- Gedenkstätte und Museum Sachsenhausen 1700-1739
Mahn- und Gedenkstätten|Gedenkstätte Warschauer Ghetto	QGJ.v1.Org.01894	https://undusting.org/jewish_sources/s/jewish_sources/item/18231	Mahn- und Gedenkstätten|Gedenkstätte Warschauer Ghetto				1015	QGJ.v1.A0040.I0151.E01057		organizations		- Gedenkstätte Warschauer Ghetto 1015
Mahn- und Gedenkstätten|Gedenkstätte Wöbbelm	QGJ.v1.Org.01895	https://undusting.org/jewish_sources/s/jewish_sources/item/18232	Mahn- und Gedenkstätten|Gedenkstätte Wöbbelm				1114	QGJ.v1.A0051.I0172.E01156		organizations		- Gedenkstätte Wöbbelm 1114
Marien-Hospital, Bottrop	QGJ.v1.Org.01896	https://undusting.org/jewish_sources/s/jewish_sources/item/18233	Marien-Hospital, Bottrop				5355	QGJ.v1.A0235.I0791.E05432		organizations		Marien-Hospital, Bottrop 5355
Martin Luther-Universität Halle/Wittenberg	QGJ.v1.Org.01897	https://undusting.org/jewish_sources/s/jewish_sources/item/18234	Martin Luther-Universität Halle/Wittenberg				2905|2906|2907|2908|2909|2910|2911|2912|2913|2914|2915|2916|2917|2918|2919|2920|2921	QGJ.v1.A0166.I0523.E02972|QGJ.v1.A0166.I0523.E02973|QGJ.v1.A0166.I0523.E02974|QGJ.v1.A0166.I0523.E02975|QGJ.v1.A0166.I0523.E02976|QGJ.v1.A0166.I0524.E02977|QGJ.v1.A0166.I0524.E02978|QGJ.v1.A0166.I0524.E02979|QGJ.v1.A0166.I0524.E02980|QGJ.v1.A0166.I0525.E02981|QGJ.v1.A0166.I0525.E02982|QGJ.v1.A0166.I0525.E02983|QGJ.v1.A0166.I0525.E02984|QGJ.v1.A0166.I0525.E02985|QGJ.v1.A0166.I0525.E02986|QGJ.v1.A0166.I0525.E02987|QGJ.v1.A0166.I0526.E02988		organizations		Martin Luther-Universität Halle/Wittenberg 2905- 2921
Max Keibel Nachf. KG	QGJ.v1.Org.01898	https://undusting.org/jewish_sources/s/jewish_sources/item/18235	Max Keibel Nachf. KG				959	QGJ.v1.A0033.I0133.E01001		organizations		Max Keibel Nachf. KG 959
Merkur AG, Zwickau	QGJ.v1.Org.01899	https://undusting.org/jewish_sources/s/jewish_sources/item/18236	Merkur AG, Zwickau				3043|3168|4592|4596	QGJ.v1.A0177.I0555.E03120|QGJ.v1.A0183.I0583.E03245|QGJ.v1.A0216.I0698.E04669|QGJ.v1.A0216.I0698.E04673	Schocken AG	organizations		Merkur AG, Zwickau 3043,3168,4592,4596
Mitteldeutsche Landesbank	QGJ.v1.Org.01900	https://undusting.org/jewish_sources/s/jewish_sources/item/18237	Mitteldeutsche Landesbank				2128/10	QGJ.v1.A0109.I0338.E02191		organizations		Mitteldeutsche Landesbank 2128/10
Möbel-Hoop (Kriegsverkaufsgemeinschaft), Berlin	QGJ.v1.Org.01901	https://undusting.org/jewish_sources/s/jewish_sources/item/18238	Möbel-Hoop (Kriegsverkaufsgemeinschaft), Berlin				2101	QGJ.v1.A0108.I0332.E02155		organizations		Möbel-Hoop (Kriegsverkaufsgemeinschaft), Berlin 2101
Möbelhaus Sander, Chemnitz	QGJ.v1.Org.01902	https://undusting.org/jewish_sources/s/jewish_sources/item/18239	Möbelhaus Sander, Chemnitz				3143	QGJ.v1.A0183.I0580.E03220		organizations		Möbelhaus Sander, Chemnitz 3143
Moritz Mannheimersches Hospital	QGJ.v1.Org.01903	https://undusting.org/jewish_sources/s/jewish_sources/item/18240	Moritz Mannheimersches Hospital				2280|2288|2289|2290|2293|2294|2298	QGJ.v1.A0130.I0378.E02347|QGJ.v1.A0130.I0381.E02355|QGJ.v1.A0130.I0382.E02356|QGJ.v1.A0130.I0382.E02357|QGJ.v1.A0130.I0382.E02360|QGJ.v1.A0130.I0382.E02361|QGJ.v1.A0130.I0382.E02365		organizations		Moritz Mannheimersches Hospital 2280, 2288-2290, 2293,2294,2298
(Franz) Müller Sc. Kramer (später Franz Müller &Schütz K. G., Greiz)	QGJ.v1.Org.01904	https://undusting.org/jewish_sources/s/jewish_sources/item/18241	(Franz) Müller Sc. Kramer (später Franz Müller &Schütz K. G., Greiz)				5502|5503	QGJ.v1.A0238.I0824.E05583|QGJ.v1.A0238.I0824.E05584		organizations		(Franz) Müller Sc. Kramer (später Franz Müller &Schütz K. G., Greiz) 5502, 5503
Musikalienhandlung Max Abraham, Leipzig	QGJ.v1.Org.01905	https://undusting.org/jewish_sources/s/jewish_sources/item/18242	Musikalienhandlung Max Abraham, Leipzig				4235	QGJ.v1.A0196.I0643.E04312		organizations		Musikalienhandlung Max Abraham, Leipzig 4235
Musikverlag C. F. Kahm,	QGJ.v1.Org.01906	https://undusting.org/jewish_sources/s/jewish_sources/item/18243	Musikverlag C. F. Kahm,				2984/4	QGJ.v1.A0173.I0540.E03058		organizations		Musikverlag C. F. Kahm, 2984/4
Musikverlag C. F. Peters	QGJ.v1.Org.01907	https://undusting.org/jewish_sources/s/jewish_sources/item/18244	Musikverlag C. F. Peters				2984/2|2984/4|4235|4250|4251	QGJ.v1.A0173.I0540.E03056|QGJ.v1.A0173.I0540.E03058|QGJ.v1.A0196.I0643.E04312|QGJ.v1.A0196.I0643.E04327|QGJ.v1.A0196.I0643.E04328		organizations		Musikverlag C. F. Peters 2984/2, 2984/4,4235, 4250, 4251
Musikverlag Friedrich Hofmeister,	QGJ.v1.Org.01908	https://undusting.org/jewish_sources/s/jewish_sources/item/18245	Musikverlag Friedrich Hofmeister,				2984/4	QGJ.v1.A0173.I0540.E03058		organizations		Musikverlag Friedrich Hofmeister, 2984/4
National Archives Washington	QGJ.v1.Org.01909	https://undusting.org/jewish_sources/s/jewish_sources/item/18246	National Archives Washington				8044	QGJ.v1.A0297.I0979.E08139		organizations		National Archives Washington 8044
Nationale Front	QGJ.v1.Org.01910	https://undusting.org/jewish_sources/s/jewish_sources/item/18247	Nationale Front				30	QGJ.v1.A0003.I0033.E00052		organizations		Nationale Front 30
