Identifier	Entry	Omeka	Entry_Clean_Recon	Wikidata	TextInBrackets	RelatedLocations	spatial coverage	NumberOfEntries	EntriesIdentifier	StartYear	endYear	OmekaID	SeeAlso	File	Comment	Column 1	Location_in_index
QGJ.v1.Per.05956	Salomon, Harry	https://undusting.org/jewish_sources/s/jewish_sources/item/15389	Salomon, Harry			Brandenburg (Land)|Luckenwalde|Trebbin	16512|17151|17710	2	QGJ.v1.A0072.I0230.E01592|QGJ.v1.A0072.I0230.E01593	1936	1936	5044|5045		persons		Salomon, Harry 1544,1545	
QGJ.v1.Per.05957	Salomon, Henriette	https://undusting.org/jewish_sources/s/jewish_sources/item/15390	Henriette Weingart	Q105461124		Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03484			6936		persons		Salomon, Henriette 3407	
QGJ.v1.Per.05958	Salomon, Heymann	https://undusting.org/jewish_sources/s/jewish_sources/item/15391	Salomon, Heymann			Altenburg|Dresden|Sachsen|Thüringen	16354|16630|17509|17701	2	QGJ.v1.A0185.I0588.E03646|QGJ.v1.A0236.I0801.E05480	1808	1808	7098|8932		persons		Salomon, Heymann 3569, 5403	
QGJ.v1.Per.05959	Salomon, Horst Chan an	https://undusting.org/jewish_sources/s/jewish_sources/item/15392	Salomon, Horst Chan an					1	QGJ.v1.A0103.I0316.E01963	1933	1941	5415		persons		Salomon, Horst Chan an 1909	
QGJ.v1.Per.05960	Salomon, Irma Judith geb. Lewinsohn	https://undusting.org/jewish_sources/s/jewish_sources/item/15393	Salomon, Irma Judith geb. Lewinsohn			Amsterdam|Gera|Thüringen	16367|16770|17701	1	QGJ.v1.A0235.I0777.E05352			8804		persons		Salomon, Irma Judith geb. Lewinsohn 5275	
QGJ.v1.Per.05961	Salomon, Isaac	https://undusting.org/jewish_sources/s/jewish_sources/item/15394	Salomon Isaac	Q9332971		Brandenburg (Land)|Dresden|Eisenach|Frankfurt/Oder|Kurpfalz|Mannheim|Sachsen|Sachsen-Weimar-Eisenach|Thüringen	16512|16630|16654|16719|17089|17169|17509|17521|17701	4	QGJ.v1.A0066.I0208.E01531|QGJ.v1.A0185.I0588.E03641|QGJ.v1.A0185.I0588.E03642|QGJ.v1.A0235.I0757.E05068			4983|7093|7094|8520		persons		Salomon, Isaac 1483, 3564, 3565, 4991	
QGJ.v1.Per.05962	Salomon, Isaak	https://undusting.org/jewish_sources/s/jewish_sources/item/15395	Salomon, Isaak			Schwarza|Thüringen	17583|17701	2	QGJ.v1.A0239.I0831.E05817|QGJ.v1.A0239.I0831.E06474	1744	1779	9269|9926		persons		Salomon, Isaak 5736, 6393	
QGJ.v1.Per.05963	Salomon, Israel	https://undusting.org/jewish_sources/s/jewish_sources/item/15396	Salomon, Israel			Eisenach|Gothenburg|Mecklenburg-Vorpommern|Röbel|Sachsen-Weimar-Eisenach|Thüringen|Tiefenort	16654|16809|17192|17476|17521|17701|17702	2	QGJ.v1.A0029.I0097.E00528|QGJ.v1.A0235.I0757.E05092	1731	1731	3980|8544		persons		Salomon, Israel 485, 5015	
QGJ.v1.Per.05964	Salomon, J.	https://undusting.org/jewish_sources/s/jewish_sources/item/15397	Salomon, J.			Sachsen-Anhalt|Schönebeck	17512|17567	1	QGJ.v1.A0152.I0458.E02779			6231		persons		Salomon, J. 2712	
QGJ.v1.Per.05965	Salomon, Jacob	https://undusting.org/jewish_sources/s/jewish_sources/item/15398	Salomon, Jacob			Coburg|Eiba|Hildburghausen|Mecklenburg-Vorpommern|Saalfeld|Schwerin|Thüringen	16570|16648|16934|17192|17508|17599|17701	3	QGJ.v1.A0031.I0110.E00719|QGJ.v1.A0239.I0838.E06643|QGJ.v1.A0259.I0894.E07507			4171|10095|10959		persons		Salomon, Jacob 677, 6562, 7414	
QGJ.v1.Per.05966	Salomon, Jennie	https://undusting.org/jewish_sources/s/jewish_sources/item/15399	Salomon, Jennie			Mecklenburg-Vorpommern|Ribnitz	17192|17467	1	QGJ.v1.A0027.I0092.E00515	1933	1941	3967		persons		Salomon, Jennie 473	
QGJ.v1.Per.05967	Salomon, Juda Hirschel	https://undusting.org/jewish_sources/s/jewish_sources/item/15400	Salomon, Juda Hirschel			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03696			7148		persons		Salomon, Juda Hirschel 3619	
QGJ.v1.Per.05968	Salomon, Juda Joseph	https://undusting.org/jewish_sources/s/jewish_sources/item/15401	Salomon, Juda Joseph			Dresden|Sachsen	16630|17509	2	QGJ.v1.A0185.I0588.E03322|QGJ.v1.A0185.I0588.E03365			6774|6817		persons		Salomon, Juda Joseph 3245, 3288	
QGJ.v1.Per.05969	Salomon, Julius	https://undusting.org/jewish_sources/s/jewish_sources/item/15402	Salomon, Julius			Dresden|Ludwigslust|Mecklenburg-Vorpommern|Sachsen	16630|17153|17192|17509	2	QGJ.v1.A0018.I0075.E00364|QGJ.v1.A0185.I0588.E03446	1823	1878	3816|6898		persons		Salomon, Julius 326, 3369	
QGJ.v1.Per.05970	Salomon, Julius Ludwig Baruch	https://undusting.org/jewish_sources/s/jewish_sources/item/15403	Salomon, Julius Ludwig Baruch			Dresden|Innungen|Sachsen	16630|17509	1	QGJ.v1.A0185.I0607.E03852			7304		persons		Salomon, Julius Ludwig Baruch 3775	
QGJ.v1.Per.05971	Salomon, Julius Nathan	https://undusting.org/jewish_sources/s/jewish_sources/item/15404	Salomon, Julius Nathan			Leipzig|London|Sachsen	17112|17147|17509	1	QGJ.v1.A0196.I0648.E04406			7858		persons		Salomon, Julius Nathan 4329	
QGJ.v1.Per.05972	Salomon, Lazarus	https://undusting.org/jewish_sources/s/jewish_sources/item/15405	Salomon, Lazarus			Leipzig|Sachsen	17112|17509	1	QGJ.v1.A0196.I0640.E04166			7618		persons		Salomon, Lazarus 4089	
QGJ.v1.Per.05973	Salomon, Levy	https://undusting.org/jewish_sources/s/jewish_sources/item/15406	Salomon, Levy			Dresden|Sachsen	16630|17509	1	QGJ.v1.A0185.I0588.E03640			7092		persons		Salomon, Levy 3563	
